video_id,video_title,video_view_count,video_like_count,comment_count,tags,published_at,influencer_id,category_id,duration,embed_link,thumbnail_url
BnDJgCpyhEI,Stalker Dilarang Nonton!,55304,2222,115,raditya dika,2024-12-03T12:18:41Z,UC0rzsIrAxF4kCsALP6J2EsA,22,1:01:46,https://www.youtube.com/embed/BnDJgCpyhEI,https://i.ytimg.com/vi/BnDJgCpyhEI/hqdefault.jpg
37Hrw5rbUKE,Apa Kabar Indra Jegel?,989473,23947,854,raditya dika,2024-11-29T12:00:03Z,UC0rzsIrAxF4kCsALP6J2EsA,22,1:03:21,https://www.youtube.com/embed/37Hrw5rbUKE,https://i.ytimg.com/vi/37Hrw5rbUKE/hqdefault.jpg
7RGRrT23yPY,"Yang Suka Cidera, Nonton ini!",154229,3805,294,raditya dika,2024-11-28T12:00:58Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:36:35,https://www.youtube.com/embed/7RGRrT23yPY,https://i.ytimg.com/vi/7RGRrT23yPY/hqdefault.jpg
ugXvB39C9JU,Obrolan Orang Pendiam,443899,15877,877,raditya dika,2024-11-25T12:01:16Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:37:05,https://www.youtube.com/embed/ugXvB39C9JU,https://i.ytimg.com/vi/ugXvB39C9JU/hqdefault.jpg
tSxC50lK_ns,Capek Jadi Orang Baik,338478,7042,327,raditya dika,2024-11-22T12:01:15Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:51:56,https://www.youtube.com/embed/tSxC50lK_ns,https://i.ytimg.com/vi/tSxC50lK_ns/hqdefault.jpg
IAVnIZqwg48,Yono Gak Jadi Pulang,984728,25735,1600,raditya dika,2024-11-20T13:01:57Z,UC0rzsIrAxF4kCsALP6J2EsA,22,1:19:25,https://www.youtube.com/embed/IAVnIZqwg48,https://i.ytimg.com/vi/IAVnIZqwg48/hqdefault.jpg
9xo4pOaTsxY,Podcast Terpendek di Dunia,1293201,69777,5048,raditya dika,2024-11-19T12:39:44Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:00:36,https://www.youtube.com/embed/9xo4pOaTsxY,https://i.ytimg.com/vi/9xo4pOaTsxY/hqdefault.jpg
ChLYHgvkS-Y,Rasanya Dikejar Mayit Hidup,263794,6540,450,raditya dika,2024-11-18T12:00:24Z,UC0rzsIrAxF4kCsALP6J2EsA,22,1:01:11,https://www.youtube.com/embed/ChLYHgvkS-Y,https://i.ytimg.com/vi/ChLYHgvkS-Y/hqdefault.jpg
_A0z0ymj15s,Ngobrol Sama Pelawak,1895862,50183,2460,raditya dika,2024-11-15T12:00:53Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:43:54,https://www.youtube.com/embed/_A0z0ymj15s,https://i.ytimg.com/vi/_A0z0ymj15s/hqdefault.jpg
ystWG_s45_8,Zara Sekarang Ikhlas,455044,9347,417,raditya dika,2024-11-13T12:01:17Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:46:55,https://www.youtube.com/embed/ystWG_s45_8,https://i.ytimg.com/vi/ystWG_s45_8/hqdefault.jpg
