influencer_id,username,created_at,country_id
UCoIiiHof6BJ85PLuLkuxuhw,Windah Basudara,2018-12-29T07:57:37Z,ID
UC3J4Q1grz46bdJ7NJLd4DGw,MiawAug,2014-03-15T01:33:08Z,ID
UC0rzsIrAxF4kCsALP6J2EsA,Raditya Dika,2007-06-29T04:38:58Z,ID
UC4tS4Q_Cno5JVcIUXxQOOpA,Ricis Official,2016-01-15T15:57:39Z,ID
UCJCSL8IJfD4d5nunRrmrT1Q,tasya farasya,2016-10-03T14:09:23Z,ID
UCtECrfmHyJ0n32jSUfxcvXg,Gita Savitri Devi,2009-08-11T07:55:52Z,ID
UC4hGmH5sABOA70D4fGb8qNQ,Frost Diamond,2014-01-22T07:57:04Z,ID
UCGd6ly1Govd77mjyvSKjRtA,Arief Muhammad,2012-01-26T14:52:55Z,ID
UCYk4LJI0Pr6RBDWowMm-KUw,Deddy Corbuzier,2009-12-08T05:12:52Z,ID
UCQOtIkbVVCEOkI7RLAYSZgA,Crazy Nikmir REAL,2019-05-13T15:20:59Z,ID
UCaKLg1ELiX0zTJ6Je3c5esA,AH,2014-01-26T16:19:24Z,ID
UCxvwscmR_VAfBY-ZI2VGuKw,dunia MANJI,2014-02-23T16:46:35Z,ID
UCZWk_k207M--sLScrLdM3JQ,SULE PRODUCTIONS,2015-04-11T17:35:18Z,ID
UC5xAPCVizxOfnMECMXkal2Q,Baim Paula,2016-06-04T05:46:50Z,ID
UCIecZQpkLmj1HdBR6iV9rlQ,Rachel Vennya,2015-03-27T18:11:27Z,ID
UC7FvJoChW1KfT2F-5cUl-yA,Keanu Angelo,2010-06-26T06:57:32Z,ID
UCMCbLotdXzd5Eb8XGLxEEWQ,Gritte Agatha,2012-06-23T06:36:53Z,ID
UCFrugziJpGuQdrOtgGigYeQ,Agung Hapsah,2011-01-30T23:10:32Z,ID
UCCuzDCoI3EUOo_nhCj4noSw,yb,2018-10-05T16:54:35Z,ID
UCvh1at6xpV1ytYOAzxmqUsA,Jess No Limit,2017-09-07T02:31:32Z,ID
UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,2010-04-29T10:54:00Z,GB
UCVtFOytbRpEvzLjvqGG5gxQ,KSI,2009-07-25T01:11:42Z,GB
UCrUbqTCagwsaP2Fmr0p1TsA,Zoe Sugg,2012-09-04T10:57:39Z,GB
UCS5Oz6CHmeoF7vSad0qqXfw,DanTDM,2012-07-14T21:58:18Z,GB
UCYzPXprvl5Y-Sf0g4vX-m6g,jacksepticeye,2007-02-24T14:28:56Z,GB
UCzTKskwIc_-a0cGvCXA848Q,NikkieTutorials,2008-06-23T17:34:43Z,GB
UCAaUVu8vYss8zCaC0WuA9jA,Caspar,2011-11-10T14:42:24Z,GB
UC1ieoHqKW-yYgDhLHIcx28w,Syndicate,2010-09-04T04:10:49Z,GB
UCzE4rHZD7TdxGqfMzVT_p2w,ThatcherJoeVlogs,2013-01-13T10:20:22Z,GB
UCebpq6lNn_oV_Y2XiRzR3Vg,Emma Blackery,2012-05-13T17:45:35Z,GB
UCnEn0EUV13IR-_TK7fiIp3g,Alfie Deyes Vlogs,2010-03-12T16:45:34Z,GB
UCrIIH7yHQugaUuoTZDoEUuQ,Tanya Burr,2009-10-16T11:37:26Z,GB
UCYJFStLR69kJsM7ZTTHvYgg,Lewis Hamilton Vlogs,2016-08-01T16:11:36Z,GB
UCFanrVWRodCwCw43U7KBAQg,Saffron Barker,2015-07-30T11:18:21Z,GB
UCDO89DCjRd7tt5-yLmRUXKg,Lily Pebbles,2011-02-23T17:42:42Z,GB
UCUK0HBIBWgM2c4vsPhkYY4w,The Slow Mo Guys,2010-08-15T13:51:49Z,GB
UCOYWgypDktXdb-HfZnSMK6A,TomSka,2006-05-30T22:38:16Z,GB
UCdcUmdOxMrhRjKMw-BX19AA,Niko Omilana,2011-06-21T23:57:25Z,GB
UCwR-g7XxcLxjYVTS5qncFhg,Anastasia Kingsnorth,2013-12-29T15:16:48Z,GB
UCUJy393uwl2PTQIMwha8gQg,Holly Gabrielle,2014-08-17T15:48:43Z,GB
UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,2012-02-20T00:43:50Z,US
UCBJycsmduvYEL83R_U4JriQ,Marques Brownlee,2008-03-21T15:25:54Z,US
